,Date,Open,High,Low,Close,Volume,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages
104,2010-01-12,29.884285,29.967142,29.488571000000004,29.674286,148614900,1.95,2.53,-0.58,4,4,1.0,18
105,2010-01-13,29.695715000000003,30.132856,29.157142999999998,30.092857000000002,151473000,1.98,1.88,0.1,8,3,2.67,20
106,2010-01-14,30.015715000000004,30.065714,29.860001,29.918571000000004,108223500,1.52,1.69,-0.17,5,6,0.83,23
107,2010-01-15,30.132856,30.228571000000002,29.41,29.418571000000004,148516900,1.91,2.34,-0.43,4,8,0.5,24
108,2010-01-19,29.761428999999996,30.741428000000003,29.605715000000004,30.719998999999998,182501900,2.06,1.74,0.32,5,6,0.83,39
109,2010-01-20,30.701428999999997,30.792856,29.928571999999996,30.247142999999998,153038200,1.78,1.59,0.19,4,3,1.33,16
110,2010-01-21,30.297141999999997,30.472857,29.601429,29.724285,152038600,2.38,1.45,0.93,5,2,2.5,26
111,2010-01-22,29.540001,29.642857,28.165714,28.25,220441900,2.11,1.96,0.15,4,4,1.0,23
112,2010-01-25,28.93,29.242857,28.598571999999997,29.01,266424900,1.49,2.21,-0.72,34,33,1.03,219
113,2010-01-26,29.421428999999996,30.530001000000002,28.940001000000002,29.42,466777500,1.68,1.55,0.13,36,26,1.38,153
114,2010-01-27,29.549999,30.082857,28.504285999999997,29.697144,430642100,1.47,1.91,-0.44,31,31,1.0,252
115,2010-01-28,29.275715,29.357143,28.385714,28.469998999999998,293375600,1.76,1.7,0.06,15,10,1.5,67
116,2010-01-29,28.725714,28.885714,27.178571999999996,27.437143,311488100,1.08,2.1,-1.02,9,16,0.56,66
117,2010-02-01,27.481428,28.0,27.328571000000004,27.818571000000002,187469100,1.27,2.1,-0.83,5,2,2.5,18
118,2010-02-02,27.987143,28.045713,27.625713,27.98,174585600,1.58,0.0,1.58,3,0,0.0,12
119,2010-02-03,27.881428000000003,28.6,27.774286,28.461428,153832000,1.72,2.09,-0.37,6,4,1.5,24
120,2010-02-04,28.104286,28.338571999999996,27.367144,27.435715000000002,189413000,0.0,2.6,-2.6,0,1,0.0,8
121,2010-02-05,27.518572,28.0,27.264286,27.922857,212576700,1.8,1.95,-0.15,9,5,1.8,24
122,2010-02-08,27.955715,28.268572,27.714284999999997,27.731428,119567700,1.13,1.33,-0.2,1,1,1.0,11
123,2010-02-09,28.059998999999998,28.214284999999997,27.821428000000004,28.027143,158221700,0.0,1.4,-1.4,0,1,0.0,5
124,2010-02-10,27.984284999999996,28.085714000000003,27.751428999999998,27.874287,92590400,2.0,0.0,2.0,1,0,0.0,4
125,2010-02-11,27.84,28.535715000000003,27.722857,28.381428000000003,137586400,0.0,1.29,-1.29,0,4,0.0,4
126,2010-02-12,28.301428,28.805714000000002,27.928571999999996,28.625713,163867200,1.85,1.83,0.02,9,6,1.5,28
127,2010-02-16,28.848571999999997,29.098571999999997,28.788572,29.057142,135934400,1.87,2.03,-0.16,7,4,1.75,24
128,2010-02-17,29.17,29.187143,28.694285999999998,28.935715000000002,109099200,1.3,2.05,-0.75,4,7,0.57,20
129,2010-02-18,28.804284999999997,29.127142,28.702858000000003,28.99,105706300,1.61,2.0,-0.39,10,7,1.43,25
130,2010-02-19,28.837142999999998,29.028571999999997,28.73,28.809998999999998,103867400,1.45,1.99,-0.54,2,6,0.33,12
131,2010-02-22,28.905714,28.928571999999996,28.455715,28.631428000000003,97640900,2.1,1.76,0.34,1,4,0.25,9
132,2010-02-23,28.571428000000004,28.761428999999996,27.95857,28.151428000000003,143773700,1.5,1.7,-0.2,1,1,1.0,7
133,2010-02-24,28.318571000000002,28.777143,28.262857,28.665714,115141600,1.93,0.84,1.09,4,2,2.0,10
134,2010-02-25,28.197144,28.98,28.127142,28.857143,166281500,0.0,1.98,-1.98,0,3,0.0,12
135,2010-02-26,28.911428000000004,29.309998999999998,28.857143,29.231428,126865200,1.28,1.45,-0.17,2,2,1.0,9
136,2010-03-01,29.392857,29.928571999999996,29.35,29.855715000000004,137523400,2.0,0.0,2.0,7,0,0.0,14
137,2010-03-02,29.99,30.118571999999997,29.677143,29.835714000000003,141636600,1.03,0.74,0.29,4,2,2.0,17
138,2010-03-03,29.848571999999997,29.981428,29.705715,29.904284999999998,93013200,1.78,1.31,0.47,3,2,1.5,9
139,2010-03-04,29.897142,30.131428000000003,29.804284999999997,30.101429,91510300,0.0,2.1,-2.1,0,1,0.0,5
140,2010-03-05,30.705715,31.385714,30.661428000000004,31.278571999999997,224905100,2.26,1.46,0.8,7,5,1.4,23
